house_size_sqm,num_occupants,season,ac,fridge,lights,fans,washing_machine,tv,bill
111,1,1,11,23,5,14,0,1,1648
162,3,1,17,24,6,6,0,4,2116
61,4,0,6,23,6,8,2,6,1455
84,2,0,5,24,7,8,2,6,1354
60,5,1,9,23,8,7,2,7,1747
113,4,1,9,23,6,8,1,9,1866
99,3,1,8,23,4,8,1,7,1656
198,4,1,9,24,5,8,3,3,2000
118,3,1,11,24,5,6,2,4,1856
97,6,0,12,23,2,7,3,7,1918
69,1,1,13,24,3,13,0,3,1765
150,1,0,7,24,7,6,0,2,1434
186,4,1,13,24,5,15,1,6,2161
117,2,0,5,23,7,11,3,1,1434
84,5,1,13,23,8,10,2,4,1978
114,3,0,0,24,8,7,1,7,1167
57,5,0,10,24,6,11,4,5,1756
94,1,1,7,23,4,8,2,4,1595
136,2,0,5,24,6,8,2,5,1468
125,2,1,6,24,3,13,3,6,1699
125,5,1,10,23,5,9,3,4,1910
96,1,0,3,24,7,7,0,4,1148
64,5,0,8,23,5,4,2,3,1516
154,4,1,12,24,7,7,2,5,1987
196,2,1,9,24,6,15,1,2,1913
75,2,1,6,24,5,12,0,4,1449
101,4,0,3,24,7,10,0,5,1305
142,1,0,3,23,6,9,1,1,1271
199,2,1,10,24,8,11,0,6,1922
70,6,0,2,24,5,6,1,4,1230
100,6,0,9,24,5,13,2,4,1773
87,6,0,3,23,7,4,2,4,1383
69,3,1,10,23,6,7,2,6,1779
181,3,1,12,24,6,9,2,7,2119
104,1,0,0,23,8,9,1,3,1102
141,4,0,8,23,4,8,3,2,1628
77,5,1,3,23,3,8,1,3,1326
53,1,0,2,24,6,6,0,3,995
199,5,1,13,24,7,9,2,4,2118
125,1,1,10,24,4,11,2,0,1685
116,3,1,8,23,7,9,2,5,1743
135,6,1,4,23,4,15,4,5,1784
140,4,1,13,23,3,10,2,6,2007
154,3,1,11,23,1,10,3,5,1929
50,4,1,5,24,5,13,3,5,1533
121,5,0,3,24,9,9,2,5,1538
136,1,1,13,24,2,14,2,4,1982
55,2,0,5,24,5,10,3,7,1386
194,2,0,3,24,6,7,0,0,1344
110,4,0,3,23,9,11,1,6,1390
61,6,1,14,23,5,9,1,6,1935
55,6,0,7,24,5,4,2,4,1460
76,4,1,9,24,8,10,1,6,1736
185,3,1,11,23,3,12,2,4,1996
173,2,0,0,24,7,8,2,1,1291
155,3,0,10,23,6,9,3,3,1769
142,5,0,4,23,3,5,3,6,1576
158,2,0,4,23,6,9,2,4,1519
148,5,1,12,23,7,15,1,2,2064
191,1,0,5,23,4,5,2,0,1479
84,3,0,0,23,4,10,3,4,1162
133,4,0,7,23,9,9,0,0,1533
105,2,0,1,24,0,10,3,7,1295
190,3,0,7,24,2,5,0,4,1567
98,4,1,10,23,5,11,1,7,1822
95,1,1,8,23,5,11,2,5,1593
162,2,1,9,24,5,10,0,2,1774
185,5,0,11,23,5,8,2,6,1946
92,1,0,10,23,6,9,0,4,1566
197,6,1,8,23,4,15,3,6,2046
173,4,1,9,23,7,14,2,3,1970
146,2,1,8,23,4,13,1,6,1726
139,2,1,10,24,6,14,2,3,1854
88,1,0,5,23,5,8,0,2,1230
134,2,0,11,24,7,5,2,6,1800
111,4,0,5,23,5,8,1,4,1380
155,1,1,7,24,3,12,0,3,1550
156,5,1,8,23,7,13,2,6,1915
103,1,1,10,24,2,12,1,4,1689
175,1,0,6,23,9,7,1,1,1524
58,5,0,5,24,10,11,2,3,1420
137,6,1,9,23,4,11,1,7,1895
86,4,0,7,24,6,7,2,5,1470
98,6,1,9,24,9,5,3,6,1878
90,6,1,5,23,6,12,2,3,1637
66,6,1,7,23,6,7,4,6,1764
137,3,0,12,23,8,4,1,5,1783
70,6,1,12,23,10,12,4,0,1991
100,3,1,6,24,2,12,1,4,1492
108,5,0,10,23,7,4,3,6,1779
90,4,1,9,24,6,9,2,5,1803
88,6,1,7,23,3,10,4,10,1863
190,2,0,6,24,2,10,3,6,1673
60,5,1,8,23,5,9,2,6,1703
196,3,1,14,23,6,13,1,6,2217
188,4,1,11,24,9,8,0,5,2008
126,1,0,7,23,0,4,0,5,1387
176,4,1,14,23,6,14,3,7,2231
95,4,1,8,23,4,15,3,2,1741
94,6,1,10,24,8,14,4,10,2137
50,6,0,5,23,9,10,2,6,1506
157,3,0,7,24,8,8,3,6,1695
68,3,0,6,23,5,9,2,5,1432
125,6,1,7,23,6,12,2,7,1863
121,6,0,8,23,10,13,2,8,1850
158,2,1,8,23,4,8,3,4,1807
61,2,0,6,24,5,6,0,6,1270
94,5,0,6,23,6,5,3,6,1568
139,6,0,4,23,8,12,1,4,1587
152,1,0,11,24,2,8,1,1,1618
57,2,1,13,24,4,8,3,5,1832
140,3,0,3,23,6,2,2,3,1307
136,4,1,12,23,8,8,2,6,2013
133,5,1,9,24,6,11,2,4,1861
131,2,1,8,24,0,5,3,6,1695
195,4,0,8,24,5,5,3,8,1884
117,4,0,8,24,9,8,3,6,1783
176,2,1,11,24,5,10,2,4,1954
131,1,0,5,24,3,4,2,3,1366
196,1,1,15,24,2,8,1,4,2067
133,5,0,10,23,7,7,1,9,1851
162,1,0,4,24,3,9,1,4,1361
125,5,1,10,23,7,12,2,7,1969
171,3,0,2,24,4,7,0,3,1288
192,2,1,13,24,3,14,3,4,2130
90,4,1,13,24,5,9,1,8,1953
51,5,0,5,23,6,4,2,9,1401
78,1,0,1,23,4,2,0,1,927
154,5,0,11,24,6,9,1,6,1886
100,6,1,15,23,9,10,1,8,2183
124,5,0,4,24,6,3,2,8,1516
59,1,0,6,24,7,8,1,3,1305
191,6,0,9,24,7,10,3,6,1969
100,6,0,7,24,6,8,3,5,1664
167,1,1,10,23,5,9,0,0,1608
170,6,0,12,23,8,4,0,6,1961
88,2,1,4,24,3,11,2,5,1476
77,4,0,0,24,3,8,3,2,1157
52,2,0,4,24,7,15,1,10,1350
133,2,0,11,24,8,5,2,4,1740
166,1,1,14,23,6,12,1,7,2095
51,1,1,4,23,3,9,1,5,1191
142,4,0,14,24,6,5,2,8,2019
180,5,1,12,23,4,7,1,3,2005
193,2,1,7,24,7,14,1,6,1815
143,6,0,6,24,7,11,3,5,1774
89,4,0,8,23,7,10,2,5,1596
51,2,0,8,24,5,6,1,5,1376
130,5,0,5,23,7,9,3,6,1689
61,6,0,6,23,7,11,0,5,1505
114,2,0,5,23,5,1,2,4,1410
104,3,1,9,23,8,12,2,6,1796
94,4,0,7,24,3,10,2,5,1538
150,1,0,10,23,3,10,1,4,1608
111,2,0,2,23,4,5,1,4,1159
98,6,0,4,24,7,5,1,4,1421
176,6,1,9,23,9,11,3,9,2136
72,4,1,5,24,3,11,3,7,1622
87,4,1,6,23,7,13,3,4,1668
77,6,0,5,24,7,10,3,4,1531
70,6,0,1,23,9,6,1,5,1218
156,6,1,7,24,8,6,3,7,1945
195,2,1,10,24,5,7,1,4,1847
148,6,0,3,24,5,4,2,8,1552
168,1,0,8,24,5,6,1,1,1530
122,6,0,4,24,6,8,4,7,1653
171,1,0,3,24,4,7,0,3,1322
79,2,0,12,23,7,4,1,3,1659
157,4,1,4,24,9,12,0,8,1671
147,1,0,9,23,1,7,0,3,1513
81,2,1,10,23,7,9,1,4,1720
128,6,0,4,23,10,5,4,2,1549
90,2,1,6,23,5,11,2,7,1609
112,6,1,14,23,5,10,3,4,2162
72,2,1,15,23,6,9,1,1,1876
153,4,0,5,24,6,4,1,7,1573
124,1,0,4,24,12,6,0,6,1374
97,4,0,8,24,7,8,0,6,1549
106,3,1,8,24,5,12,3,1,1652
167,6,1,12,23,4,13,1,7,2178
149,1,0,8,24,3,6,0,0,1441
173,4,1,11,23,8,6,1,3,1958
83,1,1,9,24,1,12,0,3,1501
56,3,1,9,23,2,11,3,7,1738
105,5,1,6,23,8,6,2,6,1674
114,6,0,3,24,6,10,2,9,1535
96,6,1,10,24,6,2,3,5,1876
197,2,0,6,23,6,5,2,2,1650
68,6,1,17,23,7,15,2,6,2192
195,6,1,11,23,4,19,2,5,2187
175,4,0,1,23,5,10,0,5,1340
188,6,1,2,24,8,10,2,7,1715
98,6,0,7,24,7,9,3,8,1767
162,3,0,7,24,8,1,1,5,1634
87,3,0,9,23,6,6,3,5,1666
113,1,0,3,24,3,3,2,3,1178
118,1,0,5,24,7,11,0,4,1372
185,6,0,8,23,10,10,3,10,2056
165,6,0,6,23,6,9,2,5,1710
114,2,1,9,23,6,13,0,4,1681
80,1,0,7,24,6,6,0,6,1407
181,4,1,8,24,7,10,1,9,1883
162,6,1,12,24,4,8,2,4,2121
158,4,1,16,24,12,11,3,3,2307
118,6,0,10,23,6,7,1,4,1747
169,4,0,1,23,7,9,3,1,1392
137,5,1,8,24,8,7,3,6,1879
116,4,0,6,24,5,8,2,8,1574
124,1,1,13,23,7,10,1,5,1917
94,6,1,10,24,7,11,4,6,1952
53,1,1,12,23,3,8,1,6,1676
156,4,0,4,24,3,6,2,9,1582
100,3,1,10,24,5,8,2,5,1781
99,3,0,6,24,6,13,0,4,1420
55,3,1,12,23,5,14,1,3,1771
108,6,0,8,24,8,7,2,8,1802
174,2,1,13,23,8,12,2,7,2179
192,5,0,9,24,6,12,2,8,1926
79,4,1,5,24,8,15,3,3,1634
171,2,0,6,23,5,9,1,6,1582
174,3,0,3,23,6,5,0,3,1322
86,4,0,3,24,6,11,3,1,1329
173,2,1,10,24,6,11,0,4,1828
150,1,1,3,23,3,9,1,6,1415
84,3,1,8,24,4,13,2,3,1674
136,2,0,3,23,4,6,2,3,1360
183,6,0,3,24,4,3,4,7,1635
67,1,1,9,24,2,14,1,4,1538
162,3,1,9,24,5,12,1,4,1829
78,5,0,6,24,5,10,0,4,1446
126,3,1,8,24,5,5,1,6,1627
108,6,0,5,24,8,9,0,5,1497
175,5,0,14,23,7,8,1,5,2091
194,5,0,9,23,6,6,2,6,1878
158,5,1,8,24,3,9,4,3,1904
71,4,0,8,23,6,6,2,5,1544
117,4,1,14,24,5,15,3,6,2181
118,5,0,7,23,8,10,2,7,1745
98,1,1,7,24,3,10,1,4,1513
190,5,1,14,23,4,9,3,3,2247
158,2,0,4,24,8,7,1,1,1321
135,5,0,10,24,3,7,2,5,1751
102,4,0,4,24,9,4,3,2,1407
172,4,0,6,23,6,11,1,9,1686
136,2,1,11,23,4,10,0,0,1696
180,2,1,15,23,4,11,0,5,2105
91,3,1,16,24,7,13,1,3,2045
147,1,1,10,23,5,15,1,7,1883
158,1,1,9,24,5,11,1,4,1784
100,1,0,3,23,4,3,1,6,1215
134,6,0,1,23,6,9,2,5,1408
176,4,1,8,24,9,11,2,3,1874
70,1,0,5,23,4,6,2,2,1272
93,3,0,8,24,3,9,0,2,1423
188,3,0,4,24,6,6,0,4,1399
152,1,0,8,24,2,3,2,1,1510
117,2,0,3,24,8,8,1,4,1324
178,3,0,4,24,6,5,2,4,1508
141,2,1,7,24,1,10,0,7,1625
73,4,0,8,24,7,9,2,4,1542
174,6,0,11,23,6,1,1,7,1905
190,3,1,9,24,8,9,2,5,1933
160,2,1,8,23,5,8,1,4,1756
147,1,1,12,24,4,6,0,2,1741
188,4,0,12,24,5,8,2,5,1958
66,5,1,13,23,6,9,3,8,2047
148,5,0,5,23,2,9,2,7,1554
131,1,1,9,23,3,12,0,6,1671
153,4,0,2,24,4,9,3,4,1456
68,4,0,3,23,5,2,2,8,1295
134,4,1,10,23,8,11,2,4,1894
57,4,0,0,23,9,8,1,7,1120
77,5,0,3,23,7,4,4,8,1443
54,2,0,5,24,4,7,1,1,1180
194,4,0,2,24,3,8,3,5,1516
150,2,1,11,23,4,11,1,2,1850
167,4,1,13,24,4,12,1,4,2048
196,3,1,13,24,5,12,1,7,2084
113,6,0,4,24,7,9,3,3,1559
140,3,1,13,23,6,6,1,5,2012
166,6,1,14,23,7,8,3,7,2246
147,3,0,7,24,2,6,1,8,1613
60,4,1,9,24,4,10,2,2,1686
103,2,1,7,24,3,6,2,5,1553
96,6,1,8,24,6,10,1,6,1779
189,5,0,10,23,7,10,1,7,1965
198,1,1,17,24,3,6,0,3,2107
188,6,1,10,23,13,6,3,7,2236
54,6,1,8,23,9,14,4,6,1837
69,5,0,2,24,4,9,2,7,1393
95,4,0,4,24,9,13,2,7,1589
61,3,1,4,24,9,11,1,3,1398
119,3,1,11,24,3,10,2,1,1881
66,2,1,5,23,3,8,4,5,1481
164,4,0,5,24,6,15,3,4,1639
196,5,0,7,23,9,11,3,4,1895
97,4,1,5,24,7,12,4,6,1729
157,4,1,8,24,3,11,2,11,1932
101,3,0,2,24,4,4,3,3,1294
145,5,0,9,23,5,8,2,5,1762
119,1,1,14,23,6,7,2,2,1954
151,6,0,4,23,4,7,1,5,1525
124,3,1,18,23,3,11,3,0,2194
200,5,1,8,24,7,11,1,6,1957
192,2,0,6,24,5,4,1,1,1515
131,6,1,11,23,9,12,2,5,2034
141,6,1,12,23,6,10,2,6,2073
53,3,1,7,23,8,13,2,3,1570
184,2,1,14,24,7,12,0,7,2127
158,3,1,14,24,5,14,1,4,2071
97,4,1,9,24,5,8,3,3,1757
122,5,1,9,24,10,16,2,5,1911
121,2,0,4,24,6,4,2,8,1439
165,6,0,3,24,6,6,0,5,1395
130,3,1,7,23,4,11,1,1,1604
130,6,0,7,24,10,9,4,6,1827
162,2,1,10,23,4,10,0,4,1783
145,6,1,9,24,6,10,2,7,1965
121,3,0,4,24,4,13,1,0,1288
196,3,1,9,24,5,9,1,9,1944
112,1,1,9,23,5,7,0,2,1535
87,6,0,4,24,6,4,3,11,1555
116,1,0,5,24,4,6,1,2,1309
118,1,0,4,23,3,0,2,0,1189
62,6,0,2,23,8,7,3,7,1358
80,2,0,5,23,5,13,1,3,1314
163,4,0,8,23,4,7,2,6,1758
71,3,1,7,24,5,14,1,6,1573
142,5,0,0,23,7,6,3,3,1399
116,1,0,1,24,4,13,2,3,1211
103,2,1,12,23,1,12,2,5,1866
187,6,1,14,23,10,10,2,9,2385
91,2,0,7,24,3,5,0,2,1313
113,2,1,11,23,6,11,2,3,1802
175,6,1,14,24,6,16,2,7,2326
70,5,1,7,23,6,5,1,4,1552
84,6,1,9,24,7,10,3,5,1896
79,5,1,6,24,9,9,2,3,1657
106,6,1,9,24,7,6,3,5,1923
96,1,1,15,23,5,8,0,5,1880
68,5,0,2,24,4,10,0,7,1228
163,1,1,7,23,7,9,2,2,1675
57,5,0,4,23,3,11,3,11,1472
75,5,1,7,23,9,10,1,7,1740
162,6,1,11,24,3,10,4,5,2182
120,5,0,8,24,10,10,3,4,1694
79,1,1,7,23,5,10,1,4,1468
184,6,1,17,23,6,11,3,6,2421
116,3,0,9,23,3,6,2,3,1570
114,1,1,7,23,4,10,2,2,1553
85,3,1,8,24,6,13,2,4,1626
74,2,0,6,24,5,5,2,6,1420
86,6,0,2,24,6,4,3,8,1367
50,2,1,2,23,4,10,0,8,1293
192,6,0,13,24,9,7,1,8,2143
86,6,1,5,24,6,8,2,7,1668
190,1,1,13,24,5,15,2,5,2084
185,3,0,9,23,7,8,1,4,1769
182,6,0,4,24,5,5,1,7,1656
177,3,0,12,24,5,9,0,5,1842
176,6,0,7,23,10,10,2,6,1858
50,3,1,8,24,6,7,3,3,1601
84,2,0,0,23,6,9,0,4,1005
153,1,0,0,24,4,6,1,3,1073
72,6,1,8,24,9,12,2,5,1781
58,4,1,12,23,10,17,1,7,1944
83,3,1,3,24,4,8,1,4,1355
177,3,1,11,24,7,11,1,3,1991
53,4,1,8,23,3,4,3,3,1526
151,1,1,14,24,6,16,1,3,1995
124,3,1,13,24,6,4,0,3,1824
148,1,1,10,24,2,11,0,4,1660
121,3,1,9,23,7,14,1,6,1849
52,5,0,2,24,5,7,2,4,1254
191,3,0,3,24,9,6,2,7,1626
83,5,1,7,23,7,10,2,3,1617
94,6,0,2,23,7,7,2,6,1363
110,1,1,9,24,3,6,1,1,1539
132,3,1,10,24,7,3,1,7,1864
172,2,1,10,24,6,14,2,5,1926
151,2,1,10,24,5,8,2,6,1876
65,4,0,3,23,4,7,2,6,1284
115,2,0,8,24,4,4,2,8,1578
194,5,1,12,23,5,10,3,5,2192
168,2,0,5,24,2,10,2,6,1532
173,2,0,3,24,5,6,3,3,1424
193,2,1,11,23,3,14,2,2,1975
151,3,1,13,23,10,11,3,5,2154
115,4,0,7,24,10,8,1,8,1674
62,1,0,7,23,5,8,1,3,1307
160,4,1,12,24,2,11,1,4,1962
83,5,1,12,24,7,12,1,4,1872
88,3,0,7,24,5,7,0,2,1375
185,6,1,11,24,9,8,3,5,2180
169,3,1,9,23,8,14,2,2,1880
175,2,1,13,23,3,13,0,5,2012
104,2,0,0,24,4,9,1,5,1083
76,5,0,8,23,6,10,2,9,1709
167,6,1,12,23,6,7,1,7,2139
102,3,0,10,24,2,4,2,4,1604
88,6,1,5,24,8,12,2,4,1613
114,1,0,9,24,5,4,2,4,1542
194,4,0,9,24,5,13,1,3,1806
62,3,0,2,23,6,5,0,7,1137
70,6,1,8,23,8,6,2,5,1701
196,1,1,10,24,7,8,1,6,1927
102,1,1,8,24,6,8,1,4,1568
68,4,0,0,24,8,8,2,4,1170
106,1,1,13,24,3,11,0,4,1817
74,5,1,6,23,4,8,2,5,1568
80,1,1,5,23,6,11,1,3,1418
130,6,1,13,23,10,8,3,8,2172
72,5,0,0,24,8,11,2,6,1249
81,1,1,8,23,5,7,0,3,1398
123,2,1,6,23,5,15,1,7,1587
59,1,0,9,24,10,7,1,6,1434
103,5,1,12,24,8,13,1,4,2000
101,1,0,3,24,4,4,0,3,1090
197,1,0,4,23,8,7,1,2,1416
163,1,0,9,23,8,13,3,9,1867
63,5,1,10,23,4,9,3,6,1776
159,1,0,5,24,2,9,1,4,1429
102,4,0,4,23,6,6,1,4,1366
128,6,0,5,23,10,6,1,4,1552
71,4,1,11,23,5,14,3,7,1920
79,5,0,9,24,4,12,3,6,1712
53,2,0,10,23,7,2,2,7,1568
108,4,0,3,23,2,6,2,5,1318
57,6,1,8,23,6,7,2,5,1637
61,3,0,8,24,3,8,0,2,1367
168,6,0,4,23,7,9,3,5,1676
83,4,1,7,24,4,8,0,5,1473
131,3,1,12,23,5,9,2,6,1938
147,5,1,9,23,7,11,2,7,1930
176,6,0,2,23,7,7,2,7,1525
124,2,0,3,23,4,10,1,4,1309
154,3,0,9,23,5,5,2,6,1748
98,3,0,6,23,10,9,3,6,1584
128,6,1,5,23,9,10,2,8,1788
142,4,0,4,23,6,11,2,6,1600
67,3,1,14,23,6,12,2,9,2013
145,5,0,6,23,7,3,2,5,1664
87,6,0,4,23,5,4,1,7,1392
136,5,0,6,23,7,4,3,11,1730
137,6,1,10,24,5,10,0,5,1882
99,5,1,8,23,5,10,2,9,1861
57,4,1,12,23,8,11,1,5,1852
183,6,1,9,23,9,15,1,6,2049
118,2,0,8,24,7,9,2,4,1591
170,4,0,12,24,6,7,2,5,1941
113,5,0,6,23,6,6,3,8,1690
188,6,0,4,23,7,10,3,8,1761
170,4,0,7,24,2,10,2,3,1669
114,5,1,8,23,9,16,4,6,2004
156,1,1,13,24,0,13,1,6,1957
196,1,0,8,23,6,7,1,0,1621
186,3,0,6,24,4,10,2,5,1695
149,2,0,3,23,5,13,1,5,1361
131,1,0,0,24,3,6,1,5,1133
192,5,1,8,23,5,8,3,6,2037
100,4,0,7,24,1,4,1,6,1498
190,6,0,10,23,4,7,2,5,1989
132,4,0,5,23,8,6,1,5,1496
161,3,0,3,24,3,7,1,5,1383
105,4,1,10,23,3,10,2,8,1821
194,1,0,9,24,4,9,3,2,1737
109,4,1,12,24,1,13,1,3,1851
169,1,1,11,23,4,11,1,2,1875
187,1,0,13,24,5,8,1,3,1878
72,2,0,8,24,6,8,1,4,1473
198,3,0,3,24,3,5,2,7,1478
62,5,0,0,24,9,9,1,6,1205
150,1,0,3,23,7,8,0,2,1270
73,6,1,12,24,4,4,2,3,1846
157,3,1,5,24,7,12,0,5,1643
60,5,1,10,24,7,10,1,8,1796
66,6,1,8,23,8,12,1,5,1741
74,4,1,5,23,5,12,1,5,1497
143,3,0,7,24,3,11,4,7,1778
70,6,0,4,24,7,5,3,3,1395
133,3,1,12,23,6,6,0,4,1861
189,3,0,2,24,6,12,0,6,1465
86,4,0,2,23,7,11,1,4,1236
91,4,1,6,23,4,8,2,5,1571
194,3,1,13,23,8,9,2,5,2139
150,6,1,9,23,9,11,2,7,2060
97,2,0,8,24,5,8,1,7,1504
152,1,1,9,23,3,8,0,3,1624
77,4,1,9,24,7,13,1,6,1737
90,2,0,9,24,4,8,1,4,1474
148,4,0,1,23,5,3,0,9,1325
96,3,1,9,23,7,11,1,5,1690
195,2,0,7,23,4,9,3,5,1742
154,6,1,8,23,10,9,2,7,1999
173,6,0,6,24,8,7,3,5,1748
62,5,1,9,23,9,11,4,6,1841
190,1,0,5,23,3,2,2,6,1545
149,1,0,6,23,3,7,0,0,1365
80,4,0,2,23,4,8,2,3,1202
179,1,1,10,23,7,11,2,7,1929
65,5,1,11,24,12,15,1,1,1816
186,6,1,14,23,8,13,3,9,2435
122,2,0,9,24,6,6,1,3,1539
103,2,0,5,24,4,7,2,4,1348
149,6,0,5,24,10,9,3,8,1791
158,3,1,12,24,5,3,2,6,1946
136,6,0,9,24,6,3,2,6,1791
186,2,1,11,23,2,10,1,3,1873
57,4,1,13,24,4,16,3,4,1976
56,5,1,10,23,7,10,3,2,1857
85,6,1,7,24,3,14,3,8,1772
67,3,1,7,23,3,6,0,6,1449
52,4,0,4,23,9,6,0,3,1210
77,6,0,0,24,9,5,2,6,1245
119,4,0,4,23,5,8,3,2,1439
198,6,0,10,24,9,10,2,7,2077
77,4,0,9,23,4,7,1,4,1525
103,1,0,6,23,6,6,0,2,1286
114,4,1,11,23,5,15,1,7,1930
149,1,0,5,23,8,14,1,4,1451
70,2,1,6,23,3,9,2,5,1445
62,1,1,10,23,8,10,2,2,1650
106,4,1,8,23,6,11,1,2,1718
98,5,1,14,23,3,12,1,4,1987
167,5,1,12,24,7,11,1,5,2065
103,2,0,6,23,6,1,1,4,1334
187,4,0,4,23,9,9,2,4,1672
102,1,0,0,24,6,13,0,2,1039
93,5,1,10,23,5,6,5,7,1924
96,6,0,3,24,9,3,2,6,1440
102,3,0,8,23,6,4,2,9,1637
123,4,1,7,24,3,12,2,4,1740
95,6,1,7,24,7,5,1,6,1677
62,6,0,8,23,5,11,3,7,1683
151,4,1,11,23,6,7,4,4,1991
73,3,1,5,23,7,13,1,0,1383
51,5,1,8,24,4,9,3,8,1698
130,3,0,11,23,6,5,1,4,1715
149,2,1,10,23,7,12,1,3,1847
191,1,1,10,24,3,12,1,3,1808
187,1,1,13,23,4,8,1,5,2044
180,6,1,12,23,9,11,3,7,2319
160,5,1,15,24,9,12,3,3,2325
151,3,0,8,24,3,2,1,5,1559
66,6,0,7,23,5,7,2,6,1528
61,4,1,13,23,8,10,3,3,1932
165,6,1,9,24,7,5,2,4,1968
73,4,0,3,23,6,7,2,3,1322
78,4,0,1,24,2,7,1,4,1160
171,2,1,10,23,4,13,2,2,1926
139,2,1,6,24,5,12,1,5,1654
114,4,0,6,23,7,12,1,8,1582
133,5,1,8,24,6,12,1,6,1871
168,2,1,13,23,6,8,1,3,1935
65,2,0,7,24,5,6,1,2,1360
153,1,0,5,23,7,11,1,2,1413
141,6,0,9,24,7,10,1,7,1844
76,1,0,5,24,3,10,2,6,1307
183,5,1,5,24,5,13,1,4,1749
184,2,1,8,23,3,11,0,6,1789
82,2,1,6,23,6,11,2,2,1505
104,3,1,9,23,9,10,1,6,1792
56,5,0,3,24,8,11,4,3,1418
106,6,0,4,24,8,8,1,7,1506
175,6,1,12,24,5,4,2,5,2097
61,6,1,11,24,5,12,4,10,2010
65,5,1,6,24,8,13,2,6,1683
92,3,0,2,24,6,5,1,2,1164
166,3,0,10,23,4,6,2,4,1757
184,1,0,15,24,1,8,1,4,1909
160,5,1,7,23,6,15,3,5,1910
100,5,1,12,24,5,10,4,6,2010
124,3,1,9,24,4,10,1,2,1686
57,4,0,6,23,3,9,2,5,1444
94,4,1,6,23,8,11,1,2,1569
108,1,0,1,23,3,6,1,3,1041
181,4,1,7,23,7,11,2,9,1950
153,4,1,8,24,7,11,2,5,1861
147,4,0,5,23,5,11,0,3,1457
128,2,0,8,24,5,5,0,3,1445
173,1,1,8,23,8,11,2,3,1773
53,3,0,2,24,3,9,0,8,1141
139,4,0,12,24,4,11,1,3,1819
153,6,0,6,24,3,6,4,5,1725
186,2,0,8,23,5,13,1,2,1724
168,4,0,9,24,2,2,2,8,1810
182,2,1,9,24,4,6,1,0,1713
105,1,1,9,24,1,11,1,1,1578
145,6,1,9,23,8,6,3,6,1965
124,6,1,9,24,7,9,3,8,1955
192,6,0,9,23,0,9,2,8,1973
81,4,1,11,24,4,15,1,7,1862
77,2,0,0,24,4,8,1,5,1074
71,6,1,11,23,8,12,3,6,1981
66,5,1,7,24,8,13,0,8,1696
108,5,0,6,24,7,3,3,8,1700
139,2,1,9,23,6,12,2,3,1764
155,4,1,10,23,7,11,2,4,1965
75,4,1,12,23,7,8,1,2,1775
74,1,1,9,23,5,8,0,4,1521
187,1,1,15,23,4,10,0,4,2017
94,6,1,9,23,7,13,2,4,1844
132,3,1,9,24,8,14,2,6,1876
60,1,0,4,23,0,7,2,1,1147
153,4,1,6,24,1,14,4,5,1790
117,3,1,1,24,7,7,2,7,1412
144,1,1,8,24,3,9,2,6,1746
114,2,1,12,23,5,16,0,2,1833
98,5,1,13,24,6,14,2,4,2067
101,1,1,3,24,9,8,2,5,1442
151,1,0,10,23,6,10,1,5,1722
106,2,1,7,23,7,9,2,5,1638
96,4,1,5,23,5,10,3,0,1513
75,6,0,8,24,5,7,4,4,1676
163,2,0,5,24,3,3,2,5,1439
54,6,1,16,23,9,11,2,9,2203
133,1,1,8,23,6,15,2,2,1710
101,4,1,8,24,6,10,1,5,1653
154,3,0,3,23,9,6,4,2,1437
103,1,0,6,24,4,6,0,7,1293
64,2,1,11,23,3,4,1,2,1542
110,3,1,4,23,5,3,2,6,1469
171,5,0,8,24,9,13,3,4,1880
70,3,0,3,24,3,6,3,0,1157
95,2,0,2,24,5,5,0,5,1109
183,3,0,2,23,9,5,0,4,1331
87,2,1,12,23,6,10,0,5,1777
111,1,0,6,24,4,7,1,4,1357
135,4,0,4,23,10,9,2,3,1507
127,5,1,12,23,7,7,3,5,2036
95,4,0,6,23,3,9,2,7,1511
190,4,1,13,24,6,12,2,6,2205
52,4,0,9,23,8,7,3,6,1653
55,2,1,9,24,5,13,2,8,1741
142,2,0,12,24,8,11,0,5,1828
57,5,1,12,23,4,10,3,7,1985
157,2,1,12,23,5,10,2,1,1884
124,6,0,0,24,8,8,2,8,1371
126,2,1,10,24,3,12,2,5,1800
99,2,1,10,24,5,13,1,5,1770
60,2,0,5,23,6,10,2,4,1309
144,1,1,10,23,2,13,0,5,1773
119,5,1,11,23,4,11,1,6,1884
65,6,0,7,24,9,10,3,6,1631
117,2,0,0,23,5,10,2,8,1256
148,5,1,14,24,2,10,0,6,2119
97,3,1,5,23,4,14,1,8,1593
113,1,1,8,24,5,6,0,5,1569
139,2,1,7,23,0,11,3,7,1702
125,6,1,7,23,5,12,2,6,1809
188,1,0,10,24,4,7,1,2,1696
150,6,1,10,24,6,16,2,5,1992
138,1,0,8,23,2,7,1,3,1475
67,3,0,6,24,5,12,1,0,1358
68,5,0,0,23,6,6,3,4,1229
104,1,0,3,23,4,7,1,6,1303
151,4,1,12,23,7,11,1,7,2043
167,3,1,12,23,2,10,2,5,1957
183,4,1,5,23,7,7,0,9,1719
53,3,0,7,24,7,9,1,3,1393
157,4,0,8,23,7,8,2,6,1788
164,4,1,7,23,6,9,1,6,1791
78,6,0,6,24,7,1,3,6,1563
108,1,1,8,24,4,6,1,3,1523
